"Draw","Date","Winning_Number_1","Winning_Number_2","Winning_Number_3","Winning_Number_4","Winning_Number_5","Winning_Number_6","Additional_Number_","From_Last","Odd","Even","_1-10","_11-20","_21-30","_31-40","_41-50","Division_1_Winners","Division_1_Prize","Division_2_Winners","Division_2_Prize","Division_3_Winners","Division_3_Prize","Division_4_Winners","Division_4_Prize","Division_5_Winners","Division_5_Prize","Division_6_Winners","Division_6_Prize","Division_7_Winners","Division_7_Prize","division_1_total_amount","division_2_total_amount","division_3_total_amount","division_4_total_amount","division_5_total_amount","division_6_total_amount","division_7_total_amount","number_of_winners","total_amount_given"
"3675","5/7/2021","8","14","20","28","29","36","18","","1","5","1","2","2","1","0","0","0","5","51159","123","1430","359","268","6088","50","9515","25","105165","10","0","255795","175890","96212","304400","237875","1051650","121255","2121822"
"3674","1/7/2021","4","5","9","17","31","34","8","31","4","2","3","1","0","2","0","1","2852539","7","48993","162","1456","573","225","8392","50","17221","25","149274","10","2852539","342951","235872","128925","419600","430525","1492740","175630","5903152"
"3673","28/6/2021","14","31","32","33","38","47","45","","3","3","0","1","0","4","1","0","0","2","128793","81","2187","201","481","4382","50","5565","25","81464","10","0","257586","177147","96681","219100","139125","814640","91695","1704279"
"3672","24/6/2021","1","12","17","21","24","44","23","17","3","3","1","2","2","0","1","0","0","5","624113","161","1422","393","318","8452","50","10587","25","145992","10","0","3120565","228942","124974","422600","264675","1459920","165590","5621676"
"3671","21/6/2021","7","8","10","14","17","28","45","","2","4","3","2","1","0","0","0","0","6","42353","263","665","303","315","10547","50","7485","25","147967","10","0","254118","174895","95445","527350","187125","1479670","166571","2718603"
"3670","17/6/2021","5","12","15","30","38","43","33","5","3","3","1","2","1","1","1","0","0","7","432116","119","1857","403","300","7188","50","9153","25","134824","10","0","3024812","220983","120900","359400","228825","1348240","151694","5303160"
"3669","14/6/2021","5","16","23","24","28","45","40","24","3","3","1","1","3","0","1","0","0","1","247721","86","1981","161","577","5436","50","5839","25","103081","10","0","247721","170366","92897","271800","145975","1030810","114604","1959569"
"3668","10/6/2021","1","9","15","22","24","42","10","","3","3","2","1","2","0","1","1","2719974","7","46121","136","1633","631","192","8314","50","14862","25","136477","10","2719974","322847","222088","121152","415700","371550","1364770","160428","5538081"
"3667","7/6/2021","7","14","23","31","39","41","33","7,39","5","1","1","1","1","2","1","0","0","1","249782","99","1735","237","396","5357","50","6739","25","93856","10","0","249782","171765","93852","267850","168475","938560","106289","1890284"
"3666","3/6/2021","1","7","21","26","30","39","40","30","4","2","2","0","3","1","0","1","1104725","2","116287","86","1860","251","348","5127","50","7224","25","97246","10","1104725","232574","159960","87348","256350","180600","972460","109937","2994017"
"3665","31/5/2021","14","15","18","19","30","44","6","","2","4","0","4","1","0","1","1","1146790","1","241430","75","2214","256","354","4350","50","7730","25","84803","10","1146790","241430","166050","90624","217500","193250","848030","97216","2903674"
"3664","27/5/2021","3","7","9","24","36","38","43","","3","3","3","0","1","2","0","1","1063033","2","111899","107","1438","218","385","6448","50","5889","25","109428","10","1063033","223798","153866","83930","322400","147225","1094280","122093","3088532"
"3663","24/5/2021","11","18","23","31","32","33","49","18,32","4","2","0","2","1","3","0","3","3166852","7","141051","480","1415","896","414","23569","50","24872","25","395292","10","9500556","987357","679200","370944","1178450","621800","3952920","445119","17291227"
"3662","20/5/2021","7","12","18","29","32","37","44","","3","3","1","2","1","2","0","0","0","4","117740","225","1440","502","352","10451","50","12585","25","190076","10","0","470960","324000","176704","522550","314625","1900760","213843","3709599"
"3661","17/5/2021","5","6","11","36","41","46","8","5","3","3","2","1","0","1","2","0","0","1","304206","111","1885","442","259","6522","50","12817","25","125477","10","0","304206","209235","114478","326100","320425","1254770","145370","2529214"
"3660","13/5/2021","2","4","5","16","39","47","24","","3","3","3","1","0","1","1","0","0","2","118801","75","2179","213","419","4953","50","7431","25","100122","10","0","237602","163425","89247","247650","185775","1001220","112796","1924919"
"3659","10/5/2021","6","18","32","33","34","45","8","6","2","4","1","1","0","3","1","1","1202447","1","491129","75","2321","248","383","4394","50","7371","25","84696","10","1202447","491129","174075","94984","219700","184275","846960","96786","3213570"
"3658","6/5/2021","4","6","12","20","31","35","47","35","2","4","2","2","0","2","0","5","226083","0","0","146","1121","187","478","6567","50","5847","25","115382","10","1130415","0","163666","89386","328350","146175","1153820","128134","3011812"
"3657","3/5/2021","15","17","18","35","41","42","3","","4","2","0","3","0","1","2","1","2819520","2","174869","147","1636","315","417","6456","50","9802","25","118879","10","2819520","349738","240492","131355","322800","245050","1188790","135602","5297745"
"3656","29/4/2021","2","19","22","29","36","43","5","2,36","3","3","1","1","2","1","1","0","0","2","121923","90","1863","283","324","4917","50","8516","25","88952","10","0","243846","167670","91692","245850","212900","889520","102760","1851478"
"3655","26/4/2021","2","15","18","36","42","49","26","","2","4","1","2","0","1","2","1","1177379","3","82624","89","1915","308","302","4286","50","7435","25","85808","10","1177379","247872","170435","93016","214300","185875","858080","97930","2946957"
